"Event_ID","ticker","name","fiscal_year","event_year","event_date","confound_dum","confound_type","breach_size","breach_type","event_state","hq_state"
458,"FNFV","Fidelity National Information Services, Inc. (FIS)",2011,2011,"26/08/2011",1,"Earnings",22,"HACK","Florida","Florida"
459,"LNC","Lincoln Financial Group, Lincoln National Life Insurance Company, Lincoln Life and Annuity Company of New York",2011,2011,"23/08/2011",1,"Earnings",91763,"DISC","New York","Pennsylvania"
461,"VLY","Valley National Bank",2011,2011,"27/05/2011",1,"Earnings",348,"CARD","New York","New Jersey"
463,"HBAN","Huntington National Bank",2011,2011,"09/05/2011",1,"Other",2000,"INSD","Illinois","Ohio"
466,"SYMC","Symantec, ImageShack",2012,2012,"04/11/2012",1,"M&A",1000,"HACK","California","California"
467,"MSI","Motorola Mobility, Inc.",2012,2012,"03/02/2012",1,"Statement",100,"DISC","Illinois","Illinois"
468,"WMT","Sam's Club",2010,2011,"06/11/2011",1,"Earnings",98,"INSD","Minnesota","Arkansas"
469,"KO","Coca-Cola Company Family Federal Credit Union",2012,2012,"22/02/2012",1,"Earnings",13800,"PORT","Georgia","Georgia"
470,"CVS","CVS Caremark",2012,2012,"24/03/2012",1,"M&A",3482,"DISC","Rhode Island","Rhode Island"
471,"GPN","Global Payments Inc.",2011,2012,"30/03/2012",1,"Earnings",7000000,"CARD","Georgia","Georgia"
472,"PCG","Pacific Gas and Electric (PG&E)",2012,2012,"07/03/2012",1,"Investigation",100,"PHYS","California","California"
473,"MCD","McDonald's",2012,2012,"09/03/2012",1,"Earnings",282,"INSD","Oklahoma","Illinois"
475,"GM","General Motors Co.",2012,2012,"03/08/2012",1,"Earnings",883,"INSD","Michigan","Michigan"
479,"LNC","Lincoln Financial Securities Corporation, Red Boat Advisor Resources",2012,2012,"16/09/2012",1,"Earnings",4657,"HACK","New Hampshire","Pennsylvania"
481,"EFX","Equifax",2012,2012,"10/10/2012",1,"Earnings",17000,"DISC","Georgia","Georgia"
483,"TWTR","Twitter",2013,2013,"02/02/2013",1,"Investigation",250000,"HACK","California","California"
484,"AAL","US Airways, McKesson, City of Houston, Automatic Data Processing (ADP), AlliedBarton Security Services",2013,2013,"30/07/2013",1,"Earnings",4500,"DISC","Arizona","Arizona"
485,"AAL","US Airways Group",2013,2013,"08/08/2013",1,"Earnings",7700,"HACK","Arizona","Arizona"
486,"RSG","Republic Services",2013,2013,"29/08/2013",1,"Statement",82160,"PORT","Arizona","Arizona"
494,"HD","The Home Depot",2013,2014,"06/02/2014",1,"Other",30000,"INSD","Georgia","Georgia"
498,"D","Dominion Resources Inc.",2014,2014,"21/07/2014",1,"Earnings",1700,"HACK","Virginia","Virginia"
499,"CVS","CVS/Caremark",2014,2014,"30/07/2014",1,"Earnings",350,"DISC","Georgia","Rhode Island"
504,"KODK","Eastman Kodak",2005,2005,"22/06/2005",0,"none",5800,"PORT","New York","New York"
505,"LFG","LandAmerica Credit Services, Inc., Diversified Capital",2006,2006,"01/09/2006",0,"none",124,"HACK","California","Virginia"
506,"SBUX","Starbucks Corp.",2006,2006,"03/11/2006",0,"none",60080,"PORT","Washington","Washington"
