"Event_ID","ticker","name","fiscal_year","event_year","event_date","confound_dum","confound_type","breach_size","breach_type","event_state","hq_state"
111,"ROST","Ross",2009,2010,"05/08/2010",0,"none",200,"PHYS","Texas","California"
112,"HNT","Health Net",2010,2010,"16/04/2010",0,"none",18,"UNKN","California","California"
113,"GPS","Gap Inc.",2009,2010,"16/04/2010",0,"none",18,"INSD","Ohio","California"
122,"FITB","Fifth Third Bank",2006,2006,"13/04/2006",0,"none",1000,"INSD","Indiana","Ohio"
124,"BAC","Countrywide Home Loans",2006,2006,"02/05/2006",0,"none",90,"INSD","Texas","North Carolina"
125,"BAC","Merrill Lynch",2006,2006,"11/05/2006",0,"none",10500,"PORT","New York","North Carolina"
126,"GE","GE Money Bank",2006,2006,"16/05/2006",0,"none",150,"PORT","Pennsylvania","New York"
127,"CFR","Frost Bank",2006,2006,"19/05/2006",0,"none",9300,"HACK","Texas","Texas"
128,"WKL","Wolters Kluwer",2006,2006,"24/07/2006",0,"none",8500,"PORT","California","Illinois"
129,"RBS","RBS National Bank",2006,2006,"05/07/2006",0,"none",1221,"PORT","Connecticut","Connecticut"
130,"VZ","Verizon Wireless",2006,2006,"25/08/2006",0,"none",5210,"DISC","New Jersey","New York"
132,"RO","Hoffman-La Roche Inc",2006,2006,"09/08/2006",0,"none",26000,"PORT","District Of Columbia","Indiana"
133,"CPRT","Copart, Inc.",2006,2006,"28/08/2006",0,"none",43764,"HACK","California","Texas"
135,"LFGRQ","LandAmerica Credit Services, Inc.",2006,2006,"01/09/2006",0,"none",124,"HACK","California","Virginia"
136,"COF","North Fork Bank",2006,2006,"23/09/2006",0,"none",3570,"HACK","New York","Virginia"
137,"C","Citigroup",2006,2006,"02/10/2006",0,"none",11,"PORT","Illinois","New York"
141,"KEY","KeyCorp",2006,2006,"18/11/2006",0,"none",17,"DISC","Ohio","Ohio"
142,"EXPE","Expedia Corporate Travel (now Egencia)",2006,2006,"15/11/2006",0,"none",47,"INSD","Washington","Washington"
143,"S","Sprint Nextel",2006,2006,"19/12/2006",0,"none",255,"PORT","New Jersey","Kansas"
144,"BC","Brunswick Corp.",2007,2007,"16/02/2007",0,"none",5100,"HACK","Illinois","Illinois"
146,"HD","Home Depot",2006,2007,"30/04/2007",0,"none",5563,"PORT","Georgia","Georgia"
149,"HPQ","Hewlett-Packard",2007,2007,"17/08/2007",0,"none",1425,"PORT","Georgia","California"
150,"C","Citigroup",2007,2007,"09/08/2007",0,"none",519,"PORT","Connecticut","New York"
151,"CELG","Celgene Corporation",2007,2007,"20/08/2007",0,"none",1951,"PORT","New Jersey","New Jersey"
